index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
1,"USA",1960,2879,,9.693181,43.8,,,,
1,"USA",1961,2929,1.075182,9.444654,,,,,
1,"USA",1962,3103,1.116071,9.429324,,,,,
1,"USA",1963,3227,1.214128,9.470706,,,,,
1,"USA",1964,3420,1.308615,9.725879,,,,,
1,"USA",1965,3667,1.668461,9.730347,43.8,,,,
1,"USA",1966,3974,2.991,10.09759,,,,,
1,"USA",1967,4154,2.775636,10.2081,,,,,
1,"USA",1968,4494,4.217721,10.59394,,,,,
1,"USA",1969,4805,5.414701,10.63563,,,,,
1,"USA",1970,4999,5.895296,11.38864,44.4,,,,
1,"USA",1971,5362,4.255929,11.36758,,,,,34.50863
1,"USA",1972,5838,3.305615,11.96716,,,,,34.44429
1,"USA",1973,6464,6.220064,13.71356,,,,,34.37521
1,"USA",1974,6951,11.03526,17.31614,,,,,34.03606
1,"USA",1975,7519,9.13193,16.37969,42.6,,,,33.22567
1,"USA",1976,8300,5.737027,16.87366,,,,,33.76085
1,"USA",1977,9146,6.48646,17.22059,,,,,34.26464
1,"USA",1978,10229,7.647464,17.80619,,,,,34.03723
1,"USA",1979,11306,11.26604,19.28055,,,,,33.62648
1,"USA",1980,12186,13.50937,21.08158,62.9,.23884,.24568,22.376,33.51439
1,"USA",1981,13533,10.31553,20.36324,,,,,34.08828
1,"USA",1982,13940,6.160616,18.47162,,,,,32.90969
1,"USA",1983,15008,3.212435,17.62431,,,,,31.49722
1,"USA",1984,16549,4.317269,18.57701,,,,,31.87278
1,"USA",1985,17600,3.561116,17.64241,57.4,,,,30.86452
1,"USA",1986,18439,1.858736,17.95412,,,,,29.44326
1,"USA",1987,19407,3.740876,19.11619,,,,,29.19973
1,"USA",1988,20711,4.009088,20.33082,,,,,29.60649
1,"USA",1989,22047,4.827003,20.73029,,,,,28.61904
1,"USA",1990,23064,5.397956,21.18795,44.4,,,,27.85032
1,"USA",1991,23507,4.234964,21.26635,,,,,26.62006
1,"USA",1992,24509,3.02882,21.54221,,,,,25.72843
1,"USA",1993,25409,2.951657,21.55765,,,,,25.61001
1,"USA",1994,26670,2.607442,22.61822,,,,,26.08295
1,"USA",1995,27574,2.80542,24.27398,44.6,,,,26.29285
1,"USA",1996,28814,2.931204,24.58247,,,,,25.7854
1,"USA",1997,30262,2.33769,25.59154,,,,,25.38429
1,"USA",1998,31519,1.552279,24.69057,,,,,25.01884
1,"USA",1999,33028,2.188027,,,,,,24.72505
1,"USA",2000,34603,3.376857,,39.6,,,,24.44349
1,"USA",2001,35341,2.826171,,,,,,23.04858
1,"USA",2002,36180,1.586032,,,,,,
1,"USA",2003,37548,2.270095,,,,,,
2,"UK",1960,2158,,43.25547,24.5,,,,
2,"UK",1961,2216,3.579418,41.53324,,,,,
2,"UK",1962,2276,4.103672,40.40463,,,,,
2,"UK",1963,2386,2.074689,40.40659,,,,,
2,"UK",1964,2534,3.211382,40.51876,,,,,
2,"UK",1965,2660,4.805041,39.22534,26.5,,,,
2,"UK",1966,2794,3.908305,38.96463,,,,,
2,"UK",1967,2923,2.423146,39.31319,,,,,
2,"UK",1968,3173,4.731638,43.66513,,,,,
2,"UK",1969,3391,5.461902,44.03898,,,,,
2,"UK",1970,3615,6.361893,45.24774,28.9,,,,
2,"UK",1971,3854,9.407875,44.9334,,,,,43.07859
2,"UK",1972,4149,7.087912,43.55904,,,,,42.56008
2,"UK",1973,4683,9.209851,49.80358,,,,,42.1354
2,"UK",1974,5036,15.90322,60.96212,,,,,41.62375
2,"UK",1975,5481,24.23508,53.56206,31,,,,40.48818
2,"UK",1976,5953,16.53255,58.16979,,,,,41.08992
2,"UK",1977,6489,15.88198,59.42042,,,,,41.33041
2,"UK",1978,7176,8.215962,55.65679,,,,,41.46581
2,"UK",1979,7973,13.46571,55.69035,,,,,41.82387
2,"UK",1980,8502,17.97059,52.32687,32.9,.2008,.22602,17.588,42.3463
2,"UK",1981,9161,11.87983,50.51421,,,,,41.89466
2,"UK",1982,9917,8.590529,50.75241,,,,,41.49169
2,"UK",1983,10669,4.607018,52.0913,,,,,40.90145
2,"UK",1984,11336,4.953409,57.00433,,,,,40.38236
2,"UK",1985,12068,6.065421,56.62236,35.7,,,,39.76278
2,"UK",1986,12795,3.427615,52.0564,,,,,39.13434
2,"UK",1987,13717,4.148918,51.93616,,,,,38.03052
2,"UK",1988,14864,4.907976,49.64918,,,,,37.21299
2,"UK",1989,15716,7.797271,51.64563,,,,,36.62967
2,"UK",1990,16397,9.475588,51.46746,38.5,,,,35.17424
2,"UK",1991,16681,5.853981,48.20938,,,,,33.12701
2,"UK",1992,17069,3.732601,49.34976,,,,,31.88967
2,"UK",1993,17845,1.564474,52.59363,,,,,31.27093
2,"UK",1994,18975,2.47645,54.25776,,,,,31.69333
2,"UK",1995,19860,3.410996,57.89684,39.9,,,,31.99648
2,"UK",1996,20923,2.448706,59.84958,,,,,31.86726
2,"UK",1997,22280,3.132333,57.84053,,,,,31.07413
2,"UK",1998,23206,3.41817,55.98906,,,,,29.46092
2,"UK",1999,23959,1.555385,,,,,,28.59877
2,"UK",2000,25583,2.9271,,39.1,,,,28.47661
2,"UK",2001,27026,1.820852,,,,,,27.47552
2,"UK",2002,28969,1.634458,,,,,,26.99038
2,"UK",2003,29609,2.913632,,,,,,26.59016
3,"Austria",1960,1796,,48.12609,48.7,,,,
3,"Austria",1961,1899,3.542256,46.52596,,,,,
3,"Austria",1962,1977,4.381785,47.17101,,,,,
3,"Austria",1963,2074,2.70877,47.97725,,,,,
3,"Austria",1964,2224,3.868571,48.4151,,,,,
3,"Austria",1965,2336,4.930911,49.6133,47.6,,,,
3,"Austria",1966,2537,2.205882,50.31641,,,,,
3,"Austria",1967,2668,3.975,49.68385,,,,,
3,"Austria",1968,2908,2.773103,50.41092,,,,,
3,"Austria",1969,3239,3.080402,54.23251,,,,,
3,"Austria",1970,3732,4.372825,59.71196,46.5,,,,
3,"Austria",1971,4100,4.704262,59.18537,,,,,41.21851
3,"Austria",1972,4513,6.362063,59.09092,,,,,41.52563
3,"Austria",1973,4969,7.524082,59.26243,,,,,42.23682
3,"Austria",1974,5622,9.521791,64.81173,,,,,42.26027
3,"Austria",1975,6147,8.445255,61.59815,45.6,,,,40.12814
3,"Austria",1976,6810,7.318689,65.17087,,,,,39.3979
3,"Austria",1977,7588,5.475,65.20969,,,,,39.05883
3,"Austria",1978,8117,3.579047,64.74067,,,,,39.23565
3,"Austria",1979,9288,3.707094,69.69872,,,,,38.1772
3,"Austria",1980,10312,6.32539,73.99586,61.8,.26338,.31104,26.642,38.09647
3,"Austria",1981,11242,6.806862,76.07967,,,,,37.83085
3,"Austria",1982,12148,5.440414,71.68456,,,,,36.90459
3,"Austria",1983,13048,3.335381,70.53411,,,,,36.41043
3,"Austria",1984,13533,5.664864,75.5127,,,,,35.23595
3,"Austria",1985,14296,3.189694,79.06573,60,,,,35.58244
3,"Austria",1986,14921,1.700921,70.92529,,,,,35.29153
3,"Austria",1987,15549,1.4,69.634,,,,,34.79196
3,"Austria",1988,16595,1.931295,74.93547,,,,,34.58339
3,"Austria",1989,17768,2.563896,78.90685,,,,,34.11145
3,"Austria",1990,19070,3.262322,79.02966,57.9,,,,34.11053
3,"Austria",1991,20172,3.334348,78.7691,,,,,33.98061
3,"Austria",1992,20960,4.029763,76.00291,,,,,33.03325
3,"Austria",1993,21220,3.625806,73.35833,,,,,32.18623
3,"Austria",1994,22139,2.959065,75.14964,,,,,32.13828
3,"Austria",1995,22976,2.2501,77.78494,55.7,,,,32.44965
3,"Austria",1996,24008,1.843557,80.74392,,,,,32.29562
3,"Austria",1997,24472,1.325,85.25793,,,,,32.72698
3,"Austria",1998,25314,.9046797,,,,,,32.84259
3,"Austria",1999,26558,.562393,,,,,,32.90003
3,"Austria",2000,28359,2.350462,,55,,,,32.77485
3,"Austria",2001,28855,2.659962,,,,,,32.1686
3,"Austria",2002,29942,1.810212,,,,,,31.98478
3,"Austria",2003,30796,1.363419,,,,,,31.73713
4,"Belgium",1960,1782,,77.34178,27.1,,,,
4,"Belgium",1961,1883,.9831461,80.01627,,,,,
4,"Belgium",1962,2018,1.404729,82.43776,,,,,
4,"Belgium",1963,2122,2.15334,85.66539,,,,,
4,"Belgium",1964,2288,4.175618,86.62045,,,,,
4,"Belgium",1965,2414,4.059802,85.26191,28.5,,,,
4,"Belgium",1966,2559,4.173892,89.37012,,,,,
4,"Belgium",1967,2719,2.912852,86.23965,,,,,
4,"Belgium",1968,2958,2.703327,90.62302,,,,,
4,"Belgium",1969,3308,3.745782,97.94964,,,,,
4,"Belgium",1970,3797,3.914128,100.4281,28.7,,,,
4,"Belgium",1971,4129,4.340568,97.9751,,,,,42.50227
4,"Belgium",1972,4512,5.4475,97.54892,,,,,41.94415
4,"Belgium",1973,5039,6.955278,107.7751,,,,,42.51509
4,"Belgium",1974,5707,12.67789,120.5175,,,,,43.29301
4,"Belgium",1975,6146,12.7682,104.7795,30.3,,,,40.01701
4,"Belgium",1976,6854,9.1587,110.8381,,,,,40.13395
4,"Belgium",1977,7326,7.110848,109.5376,,,,,39.49528
4,"Belgium",1978,8056,4.470595,105.6856,,,,,38.45702
4,"Belgium",1979,8921,4.469084,116.2898,,,,,38.20924
4,"Belgium",1980,10156,6.650975,117.1688,31.6,.26864,.28246,21.876,36.84375
4,"Belgium",1981,11079,7.628274,126.3526,,,,,34.46517
4,"Belgium",1982,11827,8.725851,134.4237,,,,,34.4062
4,"Belgium",1983,12334,7.66337,137.1891,,,,,34.14059
4,"Belgium",1984,13113,6.347517,146.6429,,,,,33.48085
4,"Belgium",1985,13735,4.867676,140.5551,32.6,,,,34.2135
4,"Belgium",1986,14292,1.295501,126.711,,,,,33.22915
4,"Belgium",1987,15013,1.554483,122.6466,,,,,32.1018
4,"Belgium",1988,16209,1.162051,129.2056,,,,,32.88089
4,"Belgium",1989,17345,3.10545,138.3847,,,,,33.22943
4,"Belgium",1990,18526,3.452823,134.0066,32.6,,,,32.6643
4,"Belgium",1991,19453,3.208552,130.8264,,,,,30.66162
4,"Belgium",1992,20123,2.429914,126.436,,,,,30.11093
4,"Belgium",1993,20308,2.753963,120.238,,,,,28.99867
4,"Belgium",1994,21340,2.377799,125.5379,,,,,28.92364
4,"Belgium",1995,22248,1.466814,129.3607,30.5,,,,29.53443
4,"Belgium",1996,22687,2.058919,131.875,,,,,29.14131
4,"Belgium",1997,23416,1.627459,141.3144,,,,,29.25781
4,"Belgium",1998,24164,.9536226,149.6824,,,,,28.63953
4,"Belgium",1999,24792,1.119242,,,,,,27.95392
4,"Belgium",2000,26631,2.546246,,28,,,,28.08952
4,"Belgium",2001,28001,2.471273,,,,,,27.25738
4,"Belgium",2002,29330,1.643454,,,,,,27.01092
4,"Belgium",2003,30082,1.591312,,,,,,26.48478
5,"Denmark",1960,2329,,65.7822,46.1,,,,
5,"Denmark",1961,2485,3.451629,61.54067,,,,,
5,"Denmark",1962,2665,7.37782,60.33738,,,,,
5,"Denmark",1963,2700,6.105033,60.41604,,,,,
5,"Denmark",1964,2980,3.092783,61.6781,,,,,
5,"Denmark",1965,3177,5.45,61.38874,45.5,,,,
5,"Denmark",1966,3377,7.06496,59.87274,,,,,
5,"Denmark",1967,3580,8.207853,57.85473,,,,,
5,"Denmark",1968,3892,7.953615,57.87989,,,,,
5,"Denmark",1969,4352,3.487931,58.46833,,,,,
5,"Denmark",1970,4541,6.514837,60.32181,44.5,,,,
5,"Denmark",1971,4858,5.869877,58.49475,,,,,31.78034
5,"Denmark",1972,5262,6.562348,54.94262,,,,,31.53147
5,"Denmark",1973,5719,9.303389,60.4651,,,,,30.28473
5,"Denmark",1974,6121,15.2752,68.13898,,,,,29.58704
5,"Denmark",1975,6565,9.605614,62.65065,44.9,,,,29.25056
5,"Denmark",1976,7371,9,63.9493,,,,,28.24987
5,"Denmark",1977,7901,11.13914,62.84295,,,,,28.02203
5,"Denmark",1978,8585,10.00894,59.20886,,,,,27.56307
5,"Denmark",1979,9566,9.611055,62.88595,,,,,26.88064
5,"Denmark",1980,10362,12.30532,68.16064,43.4,.29344,.33284,22.218,28.23314
5,"Denmark",1981,11106,11.79159,74.18737,,,,,26.5771
5,"Denmark",1982,12115,10.08994,74.13429,,,,,26.75725
5,"Denmark",1983,12822,6.907309,72.48873,,,,,26.98976
5,"Denmark",1984,13777,6.322079,73.97858,,,,,27.29058
5,"Denmark",1985,14698,4.652379,74.85047,42.5,,,,27.62063
5,"Denmark",1986,15608,3.721279,66.16891,,,,,28.24608
5,"Denmark",1987,16024,3.985071,62.58148,,,,,27.91802
5,"Denmark",1988,16766,4.550191,63.53234,,,,,27.08609
5,"Denmark",1989,17418,4.784053,67.06669,,,,,27.02068
5,"Denmark",1990,18237,2.652716,66.58468,49.9,,,,26.54429
5,"Denmark",1991,19070,2.36796,68.53211,,,,,26.16956
5,"Denmark",1992,19829,2.101981,66.43089,,,,,26.34534
5,"Denmark",1993,20199,1.250985,63.97609,,,,,25.19012
5,"Denmark",1994,21691,1.994357,65.61267,,,,,25.31154
5,"Denmark",1995,22693,2.098436,66.71786,47,,,,25.75751
5,"Denmark",1996,23781,2.11136,66.07381,,,,,25.95113
5,"Denmark",1997,24878,2.195791,68.58707,,,,,26.04515
5,"Denmark",1998,25669,1.853178,,,,,,26.00064
5,"Denmark",1999,27113,2.478685,,,,,,26.2223
5,"Denmark",2000,28798,2.924779,,46.5,,,,27.18491
5,"Denmark",2001,29837,2.35,,,,,,26.28203
5,"Denmark",2002,30318,2.426315,,,,,,26.40067
5,"Denmark",2003,30853,2.09062,,,,,,26.40539
6,"France",1960,1858,,26.91962,25.7,,,,
6,"France",1961,1959,2.414562,26.21155,,,,,
6,"France",1962,2099,5.24725,24.89856,,,,,
6,"France",1963,2205,4.93969,25.00591,,,,,
6,"France",1964,2367,3.229338,25.62296,,,,,
6,"France",1965,2526,2.71474,25.7495,25.8,,,,
6,"France",1966,2728,2.570721,26.47594,,,,,
6,"France",1967,2915,2.818319,26.18846,,,,,
6,"France",1968,3163,4.552129,26.57132,,,,,
6,"France",1969,3531,6.039326,28.73958,,,,,
6,"France",1970,3857,5.845475,31.08583,26,,,,
6,"France",1971,4203,5.397514,31.76096,,,,,38.64927
6,"France",1972,4535,6.063004,32.39192,,,,,38.6979
6,"France",1973,5008,7.380597,34.27934,,,,,37.94067
6,"France",1974,5594,13.64932,42.39096,,,,,37.56777
6,"France",1975,6077,11.68593,36.92751,26.8,,,,37.66209
6,"France",1976,6673,9.625493,39.89237,,,,,37.49077
6,"France",1977,7292,9.494556,40.84986,,,,,36.88102
6,"France",1978,8031,9.250559,39.48853,,,,,36.23006
6,"France",1979,8948,10.64674,41.87905,,,,,35.84073
6,"France",1980,9891,13.53911,44.26932,34.5,.27806,.3287,27.236,36.0303
6,"France",1981,10929,13.33333,46.10194,,,,,35.17299
6,"France",1982,11869,11.97848,45.5013,,,,,34.09864
6,"France",1983,12518,9.459548,45.12784,,,,,33.51458
6,"France",1984,13145,7.673803,47.64643,,,,,33.12116
6,"France",1985,13746,5.831099,47.15918,36.3,,,,32.78713
6,"France",1986,14308,2.538527,41.34467,,,,,31.80395
6,"France",1987,14940,3.288898,41.14437,,,,,30.94018
6,"France",1988,16040,2.700817,42.52645,,,,,30.74395
6,"France",1989,17193,3.498302,45.68644,,,,,30.22196
6,"France",1990,18244,3.380057,45.13057,36.9,,,,29.69998
6,"France",1991,19021,3.216935,45.04747,,,,,29.52016
6,"France",1992,19746,2.365765,44.02612,,,,,29.15713
6,"France",1993,19920,2.10601,41.84121,,,,,27.45125
6,"France",1994,20695,1.660873,43.40138,,,,,27.18095
6,"France",1995,21545,1.778116,44.69141,37.3,,,,27.2759
6,"France",1996,22288,2.008362,45.60446,,,,,26.60661
6,"France",1997,23370,1.200322,49.3604,,,,,26.04123
6,"France",1998,24412,.6725971,,,,,,25.94564
6,"France",1999,25111,.5,,,,,,25.49264
6,"France",2000,26690,1.691542,,37.3,,,,25.48119
6,"France",2001,28043,1.663405,,,,,,25.5017
6,"France",2002,28829,1.924928,,,,,,25.30812
6,"France",2003,29210,2.101039,,,,,,24.47357
7,"West Germany",1960,2284,,35.45968,61,,,,44.98724
7,"West Germany",1961,2388,2.515723,33.83678,,,,,
7,"West Germany",1962,2527,2.760736,33.46638,,,,,
7,"West Germany",1963,2610,2.985075,34.16063,,,,,
7,"West Germany",1964,2806,2.318841,34.56614,,,,,
7,"West Germany",1965,3005,3.399433,35.8168,58.9,,,,
7,"West Germany",1966,3168,3.561644,36.62823,,,,,
7,"West Germany",1967,3241,1.587302,37.22666,,,,,
7,"West Germany",1968,3571,1.041667,39.09016,,,,,
7,"West Germany",1969,3998,2.061856,40.57124,,,,,
7,"West Germany",1970,4367,3.282828,40.31838,57,,,,38.21701
7,"West Germany",1971,4686,5.134474,39.73991,,,,,48.00126
7,"West Germany",1972,5055,5.348837,39.23,,,,,46.94689
7,"West Germany",1973,5553,6.843267,40.75988,,,,,46.53436
7,"West Germany",1974,6074,6.818182,48.39369,,,,,45.70887
7,"West Germany",1975,6603,5.996131,46.45783,46.8,,,,43.37009
7,"West Germany",1976,7367,4.379562,49.10308,,,,,43.61361
7,"West Germany",1977,8090,3.496504,48.56479,,,,,43.16602
7,"West Germany",1978,8928,2.533784,47.07179,,,,,42.96508
7,"West Germany",1979,10067,3.789127,49.48575,,,,,43.08099
7,"West Germany",1980,11083,5.238095,53.33619,52.5,.33738,.32564,27.018,36.04203
7,"West Germany",1981,12115,6.334842,56.67342,,,,,35.42349
7,"West Germany",1982,12761,5.390071,57.34184,,,,,34.77847
7,"West Germany",1983,13519,3.230148,55.48264,,,,,35.08514
7,"West Germany",1984,14481,2.346806,58.79181,,,,,34.51585
7,"West Germany",1985,15291,2.038217,61.51943,58.5,,,,34.85139
7,"West Germany",1986,15998,-.2496879,55.11741,,,,,34.36679
7,"West Germany",1987,16679,.1251564,52.91488,,,,,34.09019
7,"West Germany",1988,17786,1.125,53.91034,,,,,33.77234
7,"West Germany",1989,18994,2.843016,57.66485,,,,,33.96273
7,"West Germany",1990,20465,2.764423,58.3615,56.2,,,,
7,"West Germany",1991,21602,3.74269,,,,,,
7,"West Germany",1992,22154,4.058625,,,,,,
7,"West Germany",1993,21878,3.68364,,,,,,
7,"West Germany",1994,22371,2.821317,,,,,,
7,"West Germany",1995,23035,1.626016,,,,,,
7,"West Germany",1996,23742,1.3,,,,,,
7,"West Germany",1997,24156,1.7769,,,,,,
7,"West Germany",1998,24931,.8729389,,,,,,
7,"West Germany",1999,25755,.6730769,,,,,,
7,"West Germany",2000,26943,,,,,,,
7,"West Germany",2001,27449,,,,,,,
7,"West Germany",2002,28348,,,,,,,
7,"West Germany",2003,28855,,,,,,,
8,"Italy",1960,1620,,26.57343,13.9,,,,
8,"Italy",1961,1763,2.702703,26.88328,,,,,
8,"Italy",1962,1900,3.947368,27.11724,,,,,
8,"Italy",1963,2021,7.594937,27.78547,,,,,
8,"Italy",1964,2093,5.882353,26.7552,,,,,
8,"Italy",1965,2205,4.444445,27.67776,14.1,,,,
8,"Italy",1966,2400,3.191489,29.03006,,,,,
8,"Italy",1967,2624,3.092783,29.30026,,,,,
8,"Italy",1968,2910,2,29.87667,,,,,
8,"Italy",1969,3227,1.960784,31.84477,,,,,
8,"Italy",1970,3602,4.807693,32.85419,17.5,,,,
8,"Italy",1971,3834,5.504587,33.22466,,,,,40.38538
8,"Italy",1972,4101,5.217391,34.73354,,,,,39.51487
8,"Italy",1973,4594,10.7438,36.74186,,,,,40.68504
8,"Italy",1974,5240,19.40298,44.55848,,,,,42.32259
8,"Italy",1975,5601,16.875,41.32477,18.6,,,,41.31369
8,"Italy",1976,6288,16.57754,45.4257,,,,,42.21162
8,"Italy",1977,6821,17.43119,45.85133,,,,,41.67762
8,"Italy",1978,7542,12.10938,45.11474,,,,,41.04507
8,"Italy",1979,8594,14.63415,47.70631,,,,,40.67571
8,"Italy",1980,9643,21.2766,46.6544,29.2,.37278,.32452,26.728,40.37956
8,"Italy",1981,10593,17.79449,48.83625,,,,,39.03865
8,"Italy",1982,11275,16.38298,47.1122,,,,,38.13298
8,"Italy",1983,11812,14.62523,43.48412,,,,,36.95853
8,"Italy",1984,12543,10.84529,45.80589,,,,,36.52842
8,"Italy",1985,13285,9.208633,46.10847,30.3,,,,36.09994
8,"Italy",1986,13896,5.797101,38.94103,,,,,34.897
8,"Italy",1987,14688,4.732254,38.36825,,,,,34.5781
8,"Italy",1988,15784,5.112961,37.96268,,,,,34.44107
8,"Italy",1989,16875,6.221719,40.16734,,,,,34.55434
8,"Italy",1990,17946,6.496273,40.0452,31.5,,,,33.898
8,"Italy",1991,18845,6.3,37.98859,,,,,32.9108
8,"Italy",1992,19367,5.079962,39.34541,,,,,32.38869
8,"Italy",1993,19778,4.476276,42.43132,,,,,31.35425
8,"Italy",1994,20577,4.027421,45.07429,,,,,31.30136
8,"Italy",1995,21532,5.244371,51.2474,32.4,,,,31.50129
8,"Italy",1996,22235,3.974524,48.17212,,,,,30.50213
8,"Italy",1997,22810,2.043106,50.31563,,,,,30.06423
8,"Italy",1998,23840,1.96294,,,,,,29.91003
8,"Italy",1999,24402,1.655629,,,,,,29.31141
8,"Italy",2000,25759,2.537687,,32,,,,29.04274
8,"Italy",2001,26586,2.785166,,,,,,28.74293
8,"Italy",2002,27320,2.46532,,,,,,28.28014
8,"Italy",2003,27537,2.672559,,,,,,27.80482
9,"Netherlands",1960,2113,,90.88709,11.1,,,,
9,"Netherlands",1961,2111,1.732093,88.21291,,,,,
9,"Netherlands",1962,2275,2.286038,86.70377,,,,,
9,"Netherlands",1963,2360,3.343184,87.91217,,,,,
9,"Netherlands",1964,2566,5.790884,86.53982,,,,,
9,"Netherlands",1965,2739,5.794898,83.92977,13.6,,,,
9,"Netherlands",1966,2874,5.79687,82.38142,,,,,
9,"Netherlands",1967,3078,3.486793,79.59118,,,,,
9,"Netherlands",1968,3399,3.675613,79.65446,,,,,
9,"Netherlands",1969,3951,7.42825,82.78465,,,,,
9,"Netherlands",1970,4342,3.679937,88.73793,45.8,,,,
9,"Netherlands",1971,4705,7.47758,88.53603,,,,,37.20113
9,"Netherlands",1972,4984,7.79175,84.7172,,,,,36.9602
9,"Netherlands",1973,5475,8.013519,88.92212,,,,,36.77002
9,"Netherlands",1974,6165,9.609367,102.1402,,,,,36.93427
9,"Netherlands",1975,6699,10.21273,93.63818,44.3,,,,35.57053
9,"Netherlands",1976,7345,9.057487,95.7662,,,,,35.76351
9,"Netherlands",1977,7959,6.474103,91.19662,,,,,35.20782
9,"Netherlands",1978,8676,4.080017,87.71375,,,,,34.13189
9,"Netherlands",1979,9504,4.210454,96.2868,,,,,34.08447
9,"Netherlands",1980,10458,6.73332,102.6575,44.1,.29368,.30778,21.84,34.51798
9,"Netherlands",1981,11304,6.748466,109.6119,,,,,34.74647
9,"Netherlands",1982,11784,5.862069,107.3393,,,,,34.06893
9,"Netherlands",1983,12419,2.823019,106.9498,,,,,33.90657
9,"Netherlands",1984,13234,3.273495,114.4047,,,,,34.55178
9,"Netherlands",1985,13938,2.223926,116.7998,44.7,,,,34.86816
9,"Netherlands",1986,14613,.100025,97.60883,,,,,32.41933
9,"Netherlands",1987,15197,-.7078025,96.81971,,,,,30.76184
9,"Netherlands",1988,16082,.7463938,101.0815,,,,,30.96866
9,"Netherlands",1989,17387,1.082161,106.4914,,,,,30.66598
